run,file,stage,stage_lp,iteration,bank,fourier_k,lp_A,voxels,pct_base
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,1,,19.7,30869,19.27
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,2,,15.1,30804,19.23
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,3,,12.2,30118,18.8
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,4,,9.8,50484,31.51
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,5,,8.0,13374,8.35
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,6,,6.0,368,0.23
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,7,,5.0,4004,2.5
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,8,,4.3,203,0.13
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,1,,19.7,41311,25.89
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,2,,15.1,35511,22.25
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,3,,12.2,31055,19.46
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,4,,9.8,36810,23.07
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,5,,8.0,10586,6.63
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,6,,6.0,202,0.13
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,7,,5.0,3684,2.31
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,8,,4.3,433,0.27
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,1,,19.7,47513,29.64
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,2,,15.1,39325,24.53
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,3,,12.2,31525,19.67
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,4,,9.8,28983,18.08
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,5,,8.0,8711,5.43
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,6,,6.0,56,0.03
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,7,,5.0,3619,2.26
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,8,,4.3,553,0.35
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,1,,19.7,57407,35.66
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,2,,15.1,40742,25.31
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,3,,12.2,29333,18.22
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,4,,9.8,21087,13.1
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,5,,8.0,8781,5.45
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,6,,6.0,106,0.07
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,7,,5.0,3020,1.88
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,8,,4.3,523,0.32
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,1,,19.7,57154,35.49
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,2,,15.1,42717,26.52
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,3,,12.2,28196,17.51
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,4,,9.8,20326,12.62
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,5,,8.0,8177,5.08
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,6,,6.0,87,0.05
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,7,,5.0,3879,2.41
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,8,,4.3,511,0.32
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,1,,19.7,61179,37.86
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,2,,15.1,44276,27.4
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,3,,12.2,25780,15.95
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,4,,9.8,18132,11.22
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,5,,8.0,7747,4.79
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,6,,6.0,159,0.1
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,7,,5.0,3952,2.45
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,8,,4.3,388,0.24
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,1,,19.7,63322,39.17
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,2,,15.1,44604,27.59
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,3,,12.2,26175,16.19
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,4,,9.8,14730,9.11
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,5,,8.0,7840,4.85
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,6,,6.0,103,0.06
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,7,,5.0,3917,2.42
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,8,,4.3,953,0.59
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,1,,19.7,64039,39.74
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,2,,15.1,45703,28.36
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,3,,12.2,25002,15.51
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,4,,9.8,14533,9.02
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,5,,8.0,7489,4.65
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,6,,6.0,70,0.04
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,7,,5.0,3468,2.15
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,8,,4.3,858,0.53
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,1,,19.7,68250,42.47
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,2,,15.1,45272,28.17
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,3,,12.2,21577,13.43
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,4,,9.8,13755,8.56
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,5,,8.0,7493,4.66
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,6,,6.0,85,0.05
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,7,,5.0,3834,2.39
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,8,,4.3,441,0.27
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,1,,19.7,64786,40.09
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,2,,15.1,47129,29.16
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,3,,12.2,23742,14.69
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,4,,9.8,13746,8.51
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,5,,8.0,7370,4.56
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,6,,6.0,97,0.06
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,7,,5.0,4383,2.71
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,8,,4.3,353,0.22
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,1,,19.7,64585,39.97
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,2,,15.1,48307,29.89
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,3,,12.2,24003,14.85
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,4,,9.8,12500,7.74
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,5,,8.0,7444,4.61
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,6,,6.0,82,0.05
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,7,,5.0,4151,2.57
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,8,,4.3,518,0.32
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,1,,19.7,71678,44.19
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,2,,15.1,45841,28.26
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,3,,12.2,20344,12.54
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,4,,9.8,11885,7.33
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,5,,8.0,7406,4.57
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,6,,6.0,44,0.03
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,7,,5.0,4252,2.62
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,8,,4.3,762,0.47
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,1,,19.7,67577,41.48
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,2,,15.1,46457,28.52
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,3,,12.2,22923,14.07
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,4,,9.8,12812,7.86
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,5,,8.0,7938,4.87
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,6,,6.0,147,0.09
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,7,,5.0,4588,2.82
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,8,,4.3,457,0.28
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,1,,19.7,70933,43.72
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,2,,15.1,45942,28.32
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,3,,12.2,21291,13.12
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,4,,9.8,11267,6.95
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,5,,8.0,7295,4.5
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,6,,6.0,64,0.04
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,7,,5.0,4624,2.85
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,8,,4.3,810,0.5
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,1,,19.7,73291,45.33
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,2,,15.1,44645,27.61
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,3,,12.2,20009,12.37
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,4,,9.8,11646,7.2
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,5,,8.0,7255,4.49
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,6,,6.0,39,0.02
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,7,,5.0,4160,2.57
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,8,,4.3,647,0.4
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,1,,19.7,70171,43.64
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,2,,15.1,46784,29.09
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,3,,12.2,20314,12.63
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,4,,9.8,12082,7.51
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,5,,8.0,8187,5.09
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,6,,6.0,134,0.08
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,7,,5.0,2265,1.41
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,8,,4.3,864,0.54
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,1,,19.7,70435,43.99
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,2,,15.1,47144,29.45
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,3,,12.2,19970,12.47
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,4,,9.8,11713,7.32
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,5,,8.0,8698,5.43
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,6,,6.0,314,0.2
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,7,,5.0,1340,0.84
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,8,,4.3,491,0.31
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,1,,19.7,71982,45.07
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,2,,15.1,45147,28.27
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,3,,12.2,19532,12.23
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,4,,9.8,12210,7.65
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,5,,8.0,9077,5.68
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,6,,6.0,364,0.23
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,7,,5.0,616,0.39
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,87,8,,4.3,769,0.48
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,1,,19.7,67299,42.04
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,2,,15.1,49531,30.94
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,3,,12.2,20586,12.86
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,4,,9.8,11472,7.17
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,5,,8.0,9566,5.98
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,6,,6.0,746,0.47
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,7,,5.0,350,0.22
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,88,8,,4.3,550,0.34
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,89,1,,19.7,70885,44.41
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,89,2,,15.1,46858,29.36
