run,file,stage,stage_lp,iteration,nu_iter,mask_voxels,before_base_voxels,before_base_pct,before_aux_voxels,before_aux_pct,after_base_voxels,after_base_pct,after_aux_voxels,after_aux_pct,aux_resolution,aux_nearest_lp,aux_margin_mean,aux_margin_win,aux_margin_wins,smoothing_beta,smoothing_maxits,smoothing_candidates,smoothing_auxiliary,smoothing_step_tolerance,smoothing_neighborhood,smoothing_color_passes,smoothing_quad_frac,smoothing_initial_energy,smoothing_changed_total,smoothing_final_energy,candidate_coords,voxels_analyzed,local_mean_A,local_median_A,local_sigma_A,local_min_A,local_max_A,base_bank_voxels,disc_voxels,disc_voxels_pct,neighbor_pairs,identical_pairs,identical_pairs_pct,tolerated_pairs,tolerated_pairs_pct,discontinuous_pairs,discontinuous_pairs_pct,max_step_diff,matching_lp_A,fsc143_A,filter_mode,orientation_overlap,smoothing_changed_1,smoothing_energy_1,smoothing_changed_2,smoothing_energy_2,smoothing_changed_3,smoothing_energy_3
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,1,181955,156831,86.19,25124,13.81,160224,88.06,21731,11.94,4.6,4.3,-5e-05,5e-05,25124,2.9982e-05,3,9,1,1,26-connected,8,1.0,0.00161,39802,0.0016,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.60,160224,12.895,12.19,4.072,4.267,19.692,160224,15521,9.69,3953438,2843772,71.93,1076956,27.24,32710,0.83,3,7.314,4.571,nonuniform,0.526,31161,0.0016,6811,0.0016,1830,0.0016
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,2,181955,156209,85.85,25746,14.15,159592,87.71,22363,12.29,4.6,4.3,-5e-05,5e-05,25746,3.0032e-05,3,9,1,1,26-connected,8,1.0,0.00161,38663,0.0016,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.60,159592,13.757,12.19,4.217,4.267,19.692,159592,16089,10.08,3938898,2801160,71.12,1102462,27.99,35276,0.9,3,7.314,4.571,nonuniform,0.508,30576,0.0016,6355,0.0016,1732,0.0016
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,3,181955,157570,86.6,24385,13.4,160285,88.09,21670,11.91,4.6,4.3,-6e-05,6e-05,24385,3.037e-05,3,9,1,1,26-connected,8,1.0,0.00161,34550,0.0016,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.60,160285,14.275,15.059,4.207,4.267,19.692,160285,14674,9.15,3960576,2855118,72.09,1071904,27.06,33554,0.85,3,7.314,4.571,nonuniform,0.521,27658,0.0016,5573,0.0016,1319,0.0016
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,4,181955,158749,87.25,23206,12.75,160999,88.48,20956,11.52,4.6,4.3,-6e-05,6e-05,23206,2.9141e-05,3,9,1,1,26-connected,8,1.0,0.00162,28295,0.00161,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.60,160999,14.891,15.059,4.21,4.267,19.692,160999,13161,8.17,3980756,2910258,73.11,1038972,26.1,31526,0.79,3,7.314,4.571,nonuniform,0.528,22555,0.00161,4603,0.00161,1137,0.00161
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,5,181955,158613,87.17,23342,12.83,161047,88.51,20908,11.49,4.5,4.3,-7e-05,6e-05,23342,2.9389e-05,3,9,1,1,26-connected,8,1.0,0.00163,28417,0.00162,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,161047,14.904,15.059,4.223,4.267,19.692,161047,14173,8.8,3979966,2922914,73.44,1022550,25.69,34502,0.87,4,7.314,4.491,nonuniform,0.707,22835,0.00162,4562,0.00162,1020,0.00162
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,6,181955,159315,87.56,22640,12.44,161613,88.82,20342,11.18,4.5,4.3,-7e-05,6e-05,22640,3.0411e-05,3,9,1,1,26-connected,8,1.0,0.00166,28775,0.00165,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,161613,15.152,15.059,4.206,4.267,19.692,161613,14519,8.98,3994908,2958344,74.05,1000676,25.05,35888,0.9,3,7.314,4.491,nonuniform,0.782,22787,0.00165,4758,0.00165,1230,0.00165
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,7,181955,159121,87.45,22834,12.55,161644,88.84,20311,11.16,4.5,4.3,-7e-05,6e-05,22834,2.9988e-05,3,9,1,1,26-connected,8,1.0,0.00167,27875,0.00166,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,161644,15.279,15.059,4.215,4.267,19.692,161644,13753,8.51,3992942,2970848,74.4,988274,24.75,33820,0.85,3,7.314,4.491,nonuniform,0.812,21870,0.00166,4773,0.00166,1232,0.00166
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,8,181955,158773,87.26,23182,12.74,161162,88.57,20793,11.43,4.5,4.3,-7e-05,6e-05,23182,3.0163e-05,3,9,1,1,26-connected,8,1.0,0.00167,26746,0.00167,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,161162,15.379,15.059,4.159,4.267,19.692,161162,13161,8.17,3983794,2980750,74.82,969606,24.34,33438,0.84,4,7.314,4.491,nonuniform,0.83,21218,0.00167,4411,0.00167,1117,0.00167
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,9,181955,157815,86.73,24140,13.27,160707,88.32,21248,11.68,4.5,4.3,-7e-05,6e-05,24140,3.0856e-05,3,9,1,1,26-connected,8,1.0,0.00168,27802,0.00167,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,160707,15.592,15.059,4.166,4.267,19.692,160707,15139,9.42,3970372,2987640,75.25,942114,23.73,40618,1.02,3,7.314,4.491,nonuniform,0.851,21687,0.00167,4858,0.00167,1257,0.00167
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,10,181955,158662,87.2,23293,12.8,161606,88.82,20349,11.18,4.5,4.3,-7e-05,6e-05,23293,3.0526e-05,3,9,1,1,26-connected,8,1.0,0.00167,29095,0.00167,1.00 2.00 3.00 4.00 5.00 6.00 7.00 8.00 7.70,161606,15.428,15.059,4.159,4.267,19.692,161606,14014,8.67,3992526,2974356,74.5,981930,24.59,36240,0.91,4,7.314,4.491,nonuniform,0.863,22773,0.00167,4892,0.00167,1430,0.00167
