run,file,stage,stage_lp,iteration,step,pairs,pct,class
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,0,2843772,71.932,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,1,1076956,27.241,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,2,32284,0.817,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,70,3,426,0.011,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,0,2801160,71.115,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,1,1102462,27.989,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,2,34868,0.885,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,71,3,408,0.01,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,0,2855118,72.088,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,1,1071904,27.064,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,2,33034,0.834,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,72,3,520,0.013,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,0,2910258,73.108,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,1,1038972,26.1,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,2,30784,0.773,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,73,3,742,0.019,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,0,2922914,73.441,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,1,1022550,25.692,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,2,33864,0.851,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,3,636,0.016,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,74,4,2,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,0,2958344,74.053,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,1,1000676,25.049,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,2,35106,0.879,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,75,3,782,0.02,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,0,2970848,74.402,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,1,988274,24.751,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,2,33120,0.829,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,76,3,700,0.018,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,0,2980750,74.822,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,1,969606,24.339,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,2,32668,0.82,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,3,766,0.019,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,77,4,4,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,0,2987640,75.248,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,1,942114,23.729,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,2,39294,0.99,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,78,3,1324,0.033,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,0,2974356,74.498,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,1,981930,24.594,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,2,35318,0.885,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,3,920,0.023,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,79,4,2,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,0,2992074,74.926,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,1,965918,24.188,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,2,34292,0.859,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,80,3,1090,0.027,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,0,3012956,75.156,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,1,957122,23.875,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,2,36910,0.921,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,3,1908,0.048,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,81,4,14,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,0,3045474,75.619,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,1,944046,23.441,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,2,36572,0.908,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,3,1284,0.032,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,82,4,12,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,0,3040480,75.875,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,1,929840,23.204,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,2,35498,0.886,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,3,1418,0.035,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,83,4,6,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,0,3057448,76.524,identical
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,1,902590,22.591,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,2,34102,0.854,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,3,1288,0.032,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,6,7.3,84,4,6,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,0,3028536,76.151,identical
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,1,909228,22.862,tolerated
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,2,37698,0.948,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,3,1526,0.038,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,85,4,4,0.0,discontinuous
R01,ABINITIO3D_OUTPUT_RESTART1,7,6.7,86,0,3023324,76.274,identical
