-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Fortran 90                     314          16894          21801         146969
TeX                             11           3127             60          45526
JavaScript                      61           1175           3102          15004
C/C++ Header                    11           1535           2879           8738
HTML                             2            308              0           4916
CMake                           34            736           1703           4138
C++                              7            694            747           3126
Pug                             21             98              0           1357
Perl                            26             89             47           1087
C                                5            148            226           1025
CSS                              9            209             11            995
Bourne Shell                     9             83            113            296
Python                           4             60             60            289
SCSS                             2             53             29            247
SVG                              1            215              0            227
JSON                             2              0              0             87
Julia                            2             19             20             66
Pascal                           1              2              0             56
YAML                             2              0              0              7
-------------------------------------------------------------------------------
SUM:                           524          25445          30798         234156
