file	total_ge5	subroutines_ge5	functions_ge5
src/main/image/simple_image.f90	51	49	2
src/main/ori/simple_oris.f90	31	29	2
src/main/pftc/simple_polarft_calc.f90	27	25	2
src/main/opt/simple_opt_lbfgsb.f90	20	19	1
src/main/project/simple_sp_project.f90	16	16	0
src/main/image/simple_image_arith.f90	14	14	0
src/utils/math/simple_linalg.f90	14	14	0
src/main/strategies/simple_strategy2D_utils.f90	13	8	5
src/utils/math/simple_qr_solve.f90	13	12	1
src/main/ori/simple_oris_sampling.f90	12	12	0
src/main/pftc/simple_polarft_corr.f90	12	10	2
src/main/image/simple_image_calc.f90	10	9	1
src/main/image/simple_image_geom.f90	9	8	1
src/main/strategies/simple_strategy2D3D_common.f90	9	9	0
src/utils/gui/simple_nice.f90	8	8	0
src/main/opt/simple_opt_bfgs2.f90	7	1	6
src/main/opt/simple_opt_spec.f90	7	7	0
src/main/ori/simple_oris_getters.f90	7	5	2
src/utils/math/simple_math.f90	7	2	5
src/utils/qsys/simple_qsys_ctrl.f90	7	6	1
src/utils/simple_procimgstk.f90	7	7	0
src/main/ctf/simple_ctf_estimate_cost.f90	6	5	1
src/main/ctf/simple_ctf_estimate_fit.f90	6	6	0
src/main/image/simple_image_msk.f90	6	6	0
src/main/simple_sym.f90	6	6	0
src/utils/math/simple_stat.f90	6	6	0
src/fileio/simple_binoris.f90	5	5	0
src/fileio/simple_imghead.f90	5	5	0
src/main/interp/simple_edges_sqwins.f90	5	3	2
src/main/ori/simple_oris_setters.f90	5	5	0
src/main/pftc/simple_polarft_ops_restore.f90	5	5	0
src/main/project/simple_sp_project_io.f90	5	5	0
src/utils/gui/simple_guistats.f90	5	5	0
src/utils/math/simple_neighs.f90	5	5	0
src/fileio/simple_imgfile.f90	4	4	0
src/main/image/simple_image_core.f90	4	4	0
src/main/motion/simple_motion_correct.f90	4	4	0
src/main/motion/simple_motion_correct_utils.f90	4	4	0
src/main/nano/simple_atoms.f90	4	4	0
src/main/nano/simple_nanoparticle.f90	4	4	0
src/main/nano/simple_nanoparticle_utils.f90	4	4	0
src/main/ori/simple_oris_stats.f90	4	4	0
src/main/pftc/simple_polarft_core.f90	4	4	0
src/main/pftc/simple_polarft_ops_io.f90	4	4	0
src/main/pick/simple_picker_utils.f90	4	4	0
src/main/simple_particle_extractor.f90	4	4	0
src/main/ui/simple_ui_program.f90	4	4	0
src/utils/filter/simple_fsc.f90	4	4	0
src/utils/qsys/simple_qsys_env.f90	4	4	0
src/utils/simple_micproc.f90	4	4	0
src/fileio/simple_fileio.f90	3	2	1
src/main/ctf/simple_ctf.f90	3	1	2
src/main/image/simple_image_access.f90	3	3	0
src/main/image/simple_image_ctf.f90	3	3	0
src/main/motion/simple_motion_patched.f90	3	3	0
src/main/opt/simple_opt_helpers.f90	3	3	0
src/main/opt/simple_opt_subs.f90	3	3	0
src/main/project/simple_sp_project_cls.f90	3	3	0
src/main/project/simple_sp_project_out.f90	3	3	0
src/main/simple_abinitio_utils.f90	3	3	0
src/main/simple_euclid_sigma2.f90	3	3	0
src/main/simple_eul_prob_tab.f90	3	2	1
src/main/star/simple_starproject_stream.f90	3	3	0
src/main/ui/simple_ui_param.f90	3	3	0
src/main/volume/simple_dock_vols.f90	3	3	0
src/utils/filter/simple_estimate_ssnr.f90	3	3	0
src/utils/filter/simple_opt_filter.f90	3	3	0
src/utils/structs/simple_multi_dendro.f90	3	3	0
src/fileio/simple_syslib.f90	2	0	2
src/fileio/simple_tifflib.f90	2	2	0
src/main/image/simple_ft_expanded.f90	2	2	0
src/main/image/simple_ftexp_shsrch.f90	2	2	0
src/main/image/simple_image_fft.f90	2	2	0
src/main/image/simple_image_freq_anal.f90	2	2	0
src/main/image/simple_image_io.f90	2	2	0
src/main/image/simple_projector.f90	2	2	0
src/main/interp/simple_kbinterpol.f90	2	2	0
