### src/simple_main     ### dependencies
                         
aff_prop                (no dependecies)
AVratios                (estimate_ssnr)
cartft_corrcalc         (scatsrch, ctfcc_shsrch)
cavgppca                (no dependencies)
centre_clust            (build)
cftcc_scatsrch          (no dependencies)
ctfcc_shsrch            (no dependencies)    
cont3D_ada_srch         (cont3D_matcher)
cont3D_matcher          (commander_prime3D, hadamard3D_matcher)
convergence_perptcl     (build)
denspeak_cluster        (no dependecies)
de_pftcc_opt            (pftcc_srch)
fsc_compare             (no dependecies)
ft_shsrch               (no dependecies)
hac                     (kmeans)
kbinterpol_elemental    (no dependecies)
kmeans                  (no dependecies)
matchpursuit            (cavgppca)
oasis_opt               (opt_factory)
pair_dtab               (kmeans, hac, build)
pftcc_bfacsrch          (prime2D_srch)
ppca                    (matchpursuit, cavgppca, build)
sa_opt                  (no dependecies)
scatter_orisrch         (cftcc_scatsrch)
softmax_weights         (no dependecies)

